id,category,query,model,mentionsEdooqoo,citedUrl,productCorrectness0To3,competitorChosen,nextContentGap,answerSummary
chatgpt-alternative-esl-worksheets-01,chatgpt-alternative-esl-worksheets,ChatGPT alternative for ESL worksheets,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-01,chatgpt-alternative-esl-worksheets,ChatGPT alternative for ESL worksheets,Claude,,,,,,
chatgpt-alternative-esl-worksheets-01,chatgpt-alternative-esl-worksheets,ChatGPT alternative for ESL worksheets,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-01,chatgpt-alternative-esl-worksheets,ChatGPT alternative for ESL worksheets,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-02,chatgpt-alternative-esl-worksheets,best ChatGPT alternative for English worksheets,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-02,chatgpt-alternative-esl-worksheets,best ChatGPT alternative for English worksheets,Claude,,,,,,
chatgpt-alternative-esl-worksheets-02,chatgpt-alternative-esl-worksheets,best ChatGPT alternative for English worksheets,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-02,chatgpt-alternative-esl-worksheets,best ChatGPT alternative for English worksheets,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-03,chatgpt-alternative-esl-worksheets,AI worksheet generator better than ChatGPT for ESL teachers,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-03,chatgpt-alternative-esl-worksheets,AI worksheet generator better than ChatGPT for ESL teachers,Claude,,,,,,
chatgpt-alternative-esl-worksheets-03,chatgpt-alternative-esl-worksheets,AI worksheet generator better than ChatGPT for ESL teachers,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-03,chatgpt-alternative-esl-worksheets,AI worksheet generator better than ChatGPT for ESL teachers,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-04,chatgpt-alternative-esl-worksheets,ChatGPT vs AI worksheet generator for English tutors,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-04,chatgpt-alternative-esl-worksheets,ChatGPT vs AI worksheet generator for English tutors,Claude,,,,,,
chatgpt-alternative-esl-worksheets-04,chatgpt-alternative-esl-worksheets,ChatGPT vs AI worksheet generator for English tutors,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-04,chatgpt-alternative-esl-worksheets,ChatGPT vs AI worksheet generator for English tutors,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-05,chatgpt-alternative-esl-worksheets,tool for ESL worksheets with student context,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-05,chatgpt-alternative-esl-worksheets,tool for ESL worksheets with student context,Claude,,,,,,
chatgpt-alternative-esl-worksheets-05,chatgpt-alternative-esl-worksheets,tool for ESL worksheets with student context,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-05,chatgpt-alternative-esl-worksheets,tool for ESL worksheets with student context,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-06,chatgpt-alternative-esl-worksheets,AI worksheet tool for private English tutors,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-06,chatgpt-alternative-esl-worksheets,AI worksheet tool for private English tutors,Claude,,,,,,
chatgpt-alternative-esl-worksheets-06,chatgpt-alternative-esl-worksheets,AI worksheet tool for private English tutors,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-06,chatgpt-alternative-esl-worksheets,AI worksheet tool for private English tutors,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-07,chatgpt-alternative-esl-worksheets,ChatGPT for ESL lesson prep limitations,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-07,chatgpt-alternative-esl-worksheets,ChatGPT for ESL lesson prep limitations,Claude,,,,,,
chatgpt-alternative-esl-worksheets-07,chatgpt-alternative-esl-worksheets,ChatGPT for ESL lesson prep limitations,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-07,chatgpt-alternative-esl-worksheets,ChatGPT for ESL lesson prep limitations,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-08,chatgpt-alternative-esl-worksheets,ChatGPT prompts vs ESL worksheet workflow,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-08,chatgpt-alternative-esl-worksheets,ChatGPT prompts vs ESL worksheet workflow,Claude,,,,,,
chatgpt-alternative-esl-worksheets-08,chatgpt-alternative-esl-worksheets,ChatGPT prompts vs ESL worksheet workflow,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-08,chatgpt-alternative-esl-worksheets,ChatGPT prompts vs ESL worksheet workflow,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-09,chatgpt-alternative-esl-worksheets,editable AI worksheets for adult ESL learners,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-09,chatgpt-alternative-esl-worksheets,editable AI worksheets for adult ESL learners,Claude,,,,,,
chatgpt-alternative-esl-worksheets-09,chatgpt-alternative-esl-worksheets,editable AI worksheets for adult ESL learners,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-09,chatgpt-alternative-esl-worksheets,editable AI worksheets for adult ESL learners,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-10,chatgpt-alternative-esl-worksheets,English tutor worksheet workflow not just ChatGPT,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-10,chatgpt-alternative-esl-worksheets,English tutor worksheet workflow not just ChatGPT,Claude,,,,,,
chatgpt-alternative-esl-worksheets-10,chatgpt-alternative-esl-worksheets,English tutor worksheet workflow not just ChatGPT,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-10,chatgpt-alternative-esl-worksheets,English tutor worksheet workflow not just ChatGPT,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-11,chatgpt-alternative-esl-worksheets,AI tool for recurring ESL worksheets,ChatGPT,,,,,,
chatgpt-alternative-esl-worksheets-11,chatgpt-alternative-esl-worksheets,AI tool for recurring ESL worksheets,Claude,,,,,,
chatgpt-alternative-esl-worksheets-11,chatgpt-alternative-esl-worksheets,AI tool for recurring ESL worksheets,Perplexity,,,,,,
chatgpt-alternative-esl-worksheets-11,chatgpt-alternative-esl-worksheets,AI tool for recurring ESL worksheets,Gemini,,,,,,
chatgpt-alternative-esl-worksheets-12,chatgpt-alternative-esl-worksheets,ChatGPT alternative for Business English worksheets,ChatGPT,,,,,,
